prodcodeid,category,also_0303cromo
"3089741000033113","laba",""
"1228741000033113","laba",""
"1252041000033114","laba",""
"3347141000033113","laba",""
"498041000033115","laba",""
"1206341000033118","laba",""
"1267641000033111","laba",""
"3856041000033113","laba",""
"497441000033111","laba",""
"5707041000033111","laba",""
"5707341000033113","laba",""
"6456541000033118","laba",""
"1022341000033117","laba",""
"5707141000033110","laba",""
"1272941000033113","laba",""
"3347041000033114","laba",""
"3855941000033115","laba",""
"4063541000033116","laba",""
"1267441000033114","laba",""
"4063241000033118","laba",""
"3089841000033115","laba",""
"5140041000033112","laba",""
"13179041000033114","laba",""
"3089641000033116","laba",""
"8536141000033111","laba",""
"497341000033117","laba",""
"3164241000033114","laba-ics",""
"3164541000033111","laba-ics",""
"3164341000033116","laba-ics",""
"12579441000033119","laba-ics",""
"2587641000033117","laba-ics",""
"13860241000033114","laba-ics",""
"12197841000033113","laba-ics",""
"3164041000033118","laba-ics",""
"2147441000033116","laba-ics",""
"9342841000033118","laba-ics",""
"11899741000033117","laba-ics",""
"3163741000033118","laba-ics",""
"8101641000033112","laba-ics",""
"4418141000033112","laba-ics",""
"13815341000033114","laba-ics",""
"8101841000033113","laba-ics",""
"8946941000033116","laba-ics",""
"12434441000033111","laba-ics",""
"2147341000033110","laba-ics",""
"2587541000033118","laba-ics",""
"1752241000033112","laba-ics",""
"11707241000033115","laba-ics",""
"3164441000033110","laba-ics",""
"12635241000033112","laba-ics",""
"8101941000033117","laba-ics",""
"8028941000033114","laba-ics",""
"2147241000033117","laba-ics",""
"8102041000033111","laba-ics",""
"8947141000033116","laba-ics",""
"10740041000033111","laba-ics",""
"13741741000033115","laba-ics",""
"9531441000033113","laba-ics",""
"3164141000033119","laba-ics",""
"13933641000033117","laba-ics",""
"1752341000033119","laba-ics",""
"12370841000033110","laba-ics",""
"10715041000033111","laba-ics",""
"12635141000033117","laba-ics",""
"12403741000033110","laba-ics",""
"10387241000033110","laba-ics",""
"9537441000033115","laba-ics",""
"10735041000033115","laba-ics",""
"10387141000033115","laba-ics",""
"9342741000033111","laba-ics",""
"12370941000033119","laba-ics",""
"8102141000033110","laba-ics",""
"1752141000033117","laba-ics",""
"12197941000033117","laba-ics",""
"12901741000033113","laba-ics",""
"13743741000033116","laba-ics",""
"2905641000033115","laba-ics",""
"8946841000033112","laba-ics",""
"12046641000033114","laba-ics",""
"5140741000033110","laba-ics",""
"13815441000033115","laba-ics",""
"5140541000033119","laba-ics",""
"12529341000033112","laba-ics",""
"12430741000033111","laba-ics",""
"12046741000033117","laba-ics",""
"8947041000033115","laba-ics",""
